iter	Passed	Remaining
570	17780	13358
571	17807	13324
572	17834	13290
573	17860	13255
574	17886	13220
575	17914	13186
576	17940	13152
577	17968	13119
578	17999	13087
579	18022	13050
580	18048	13016
581	18074	12981
582	18101	12947
583	18129	12914
584	18155	12879
585	18182	12845
586	18213	12814
587	18241	12781
588	18268	12747
589	18294	12712
590	18329	12684
591	18352	12648
592	18378	12614
593	18405	12580
594	18436	12549
595	18463	12515
596	18493	12483
597	18519	12449
598	18546	12416
599	18573	12382
600	18603	12351
601	18635	12320
602	18661	12286
603	18689	12253
604	18716	12219
605	18741	12185
606	18774	12155
607	18802	12122
608	18833	12091
609	18874	12067
610	18910	12039
611	18945	12011
612	18990	11989
613	19025	11960
614	19065	11935
615	19093	11902
616	19119	11868
617	19147	11835
618	19174	11802
619	19201	11768
620	19227	11734
621	19252	11700
622	19280	11667
623	19312	11636
624	19340	11604
625	19373	11574
626	19404	11543
627	19435	11512
628	19463	11479
629	19490	11446
630	19518	11414
631	19545	11381
632	19574	11348
633	19602	11315
634	19631	11284
635	19658	11251
636	19688	11219
637	19734	11197
638	19774	11171
639	19813	11144
640	19856	11120
641	19899	11096
642	19942	11072
643	19969	11039
644	20003	11009
645	20032	10977
646	20060	10944
647	20088	10912
648	20116	10879
649	20143	10846
650	20172	10814
651	20201	10782
652	20230	10750
653	20260	10718
654	20287	10685
655	20316	10653
656	20342	10619
657	20377	10591
658	20406	10559
659	20432	10525
660	20463	10494
661	20493	10463
662	20521	10431
663	20553	10400
664	20579	10366
665	20608	10335
666	20636	10302
667	20666	10271
668	20696	10240
669	20723	10207
670	20755	10176
671	20784	10144
672	20814	10113
673	20842	10081
674	20870	10048
675	20898	10016
676	20925	9983
677	20952	9950
678	20982	9919
679	21013	9888
680	21040	9855
681	21072	9825
682	21101	9793
683	21132	9762
684	21161	9731
685	21190	9699
686	21218	9667
687	21248	9635
688	21276	9603
689	21303	9571
690	21331	9538
691	21356	9505
692	21383	9472
693	21414	9442
694	21451	9413
695	21489	9386
696	21532	9360
697	21578	9336
698	21615	9307
699	21652	9279
700	21684	9249
701	21712	9217
702	21746	9187
703	21775	9155
704	21805	9124
705	21832	9091
706	21859	9059
707	21890	9028
708	21915	8995
709	21943	8962
710	21971	8930
711	22003	8900
712	22034	8869
713	22060	8836
714	22091	8805
715	22120	8774
716	22150	8742
717	22180	8711
718	22209	8679
719	22236	8647
720	22263	8615
721	22293	8584
722	22323	8552
723	22355	8522
724	22386	8491
725	22419	8461
726	22448	8429
727	22475	8397
728	22505	8366
729	22535	8335
730	22561	8302
731	22588	8270
732	22617	8238
733	22646	8206
734	22673	8174
735	22700	8142
736	22728	8110
737	22756	8078
738	22785	8047
739	22809	8014
740	22833	7981
741	22860	7948
742	22886	7916
743	22913	7884
744	22940	7852
745	22969	7820
746	22997	7789
747	23025	7757
748	23050	7724
749	23077	7692
750	23104	7660
751	23128	7627
752	23157	7596
753	23186	7564
754	23212	7532
755	23241	7501
756	23266	7468
757	23292	7436
758	23319	7404
759	23346	7372
760	23376	7341
761	23412	7312
762	23439	7280
763	23467	7249
764	23494	7217
765	23523	7186
766	23551	7154
767	23576	7122
768	23601	7089
769	23629	7058
770	23658	7026
771	23683	6994
772	23711	6963
773	23739	6931
774	23765	6899
775	23791	6867
776	23819	6836
777	23844	6804
778	23867	6771
779	23893	6739
780	23919	6707
781	23948	6676
782	23979	6645
783	24012	6615
784	24039	6584
785	24068	6553
786	24093	6520
787	24120	6489
788	24144	6456
789	24171	6425
790	24196	6393
791	24224	6361
792	24248	6329
793	24274	6297
794	24303	6266
795	24328	6235
796	24354	6203
797	24384	6172
798	24411	6141
799	24438	6109
800	24467	6078
801	24493	6047
802	24518	6015
803	24551	5985
804	24580	5954
805	24605	5922
806	24630	5890
807	24654	5858
808	24681	5827
809	24710	5796
810	24735	5764
811	24763	5733
812	24789	5701
813	24828	5673
814	24866	5644
815	24915	5618
816	24967	5592
817	25011	5564
818	25055	5537
819	25091	5507
820	25127	5478
821	25158	5447
822	25188	5417
823	25226	5388
824	25277	5361
825	25320	5333
826	25368	5306
827	25415	5279
828	25458	5251
829	25495	5221
830	25526	5191
831	25557	5160
832	25586	5129
833	25615	5098
834	25643	5067
835	25671	5036
836	25705	5006
837	25735	4975
838	25762	4943
839	25797	4913
840	25825	4882
841	25854	4851
842	25884	4820
843	25911	4789
844	25939	4758
845	25967	4726
846	25995	4695
847	26021	4664
848	26051	4633
849	26087	4603
850	26123	4573
851	26163	4544
852	26208	4516
853	26249	4487
854	26288	4458
855	26326	4428
856	26368	4399
857	26414	4371
858	26444	4340
859	26470	4309
860	26498	4277
861	26527	4246
862	26552	4215
863	26578	4183
864	26604	4152
865	26631	4120
866	26660	4089
867	26693	4059
868	26720	4028
869	26749	3997
870	26776	3965
871	26805	3934
872	26833	3903
873	26859	3872
874	26882	3840
875	26909	3809
876	26937	3778
877	26964	3746
878	26997	3716
879	27039	3687
880	27076	3657
881	27103	3626
882	27132	3595
883	27166	3564
884	27195	3533
885	27221	3502
886	27248	3471
887	27289	3441
888	27332	3412
889	27377	3383
890	27415	3353
891	27461	3324
892	27509	3296
893	27543	3265
894	27569	3234
895	27595	3203
896	27620	3171
897	27648	3140
898	27677	3109
899	27708	3078
900	27734	3047
901	27760	3016
902	27786	2984
903	27813	2953
904	27839	2922
905	27870	2891
906	27899	2860
907	27925	2829
908	27949	2798
909	27976	2766
910	28005	2735
911	28034	2705
912	28062	2674
913	28089	2642
914	28115	2611
915	28143	2580
916	28174	2550
917	28201	2519
918	28229	2488
919	28257	2457
920	28285	2426
921	28329	2396
922	28356	2365
923	28389	2335
924	28427	2304
925	28472	2275
926	28519	2245
927	28560	2215
928	28592	2185
929	28619	2154
930	28646	2123
931	28682	2092
932	28711	2061
933	28738	2030
934	28764	1999
935	28795	1968
936	28821	1937
937	28846	1906
938	28876	1875
939	28905	1845
940	28934	1814
941	28964	1783
942	28987	1752
943	29010	1720
944	29039	1690
945	29071	1659
946	29099	1628
947	29127	1597
948	29151	1566
949	29183	1535
950	29211	1505
951	29237	1474
952	29265	1443
953	29292	1412
954	29321	1381
955	29352	1350
956	29382	1320
957	29407	1289
958	29437	1258
959	29470	1227
960	29503	1197
961	29531	1166
962	29557	1135
963	29580	1104
964	29602	1073
965	29630	1042
966	29673	1012
967	29720	982
968	29757	952
969	29787	921
970	29815	890
971	29840	859
972	29869	828
973	29896	798
974	29917	767
975	29936	736
976	29955	705
977	29974	674
978	29993	643
979	30012	612
980	30029	581
981	30045	550
982	30063	519
983	30078	489
984	30093	458
985	30109	427
986	30130	396
987	30151	366
988	30174	335
989	30197	305
990	30218	274
991	30240	243
992	30263	213
993	30283	182
994	30303	152
995	30324	121
996	30345	91
997	30361	60
998	30378	30
999	30394	0
